score_last_week,max_score_last_week,score_before_last_week,max_score_before_last_week,score_percentage_last_week,score_percentage_before_last_week,date
14.5,23,1309.0,2747,0.630,0.477,2025-07-16
13.5,19,1311.0,2753,0.711,0.476,2025-07-17
15.5,23,1314.0,2757,0.674,0.477,2025-07-18
18.5,24,1314.0,2759,0.771,0.476,2025-07-19
19.0,25,1315.0,2760,0.760,0.476,2025-07-20
20.0,26,1315.0,2760,0.769,0.476,2025-07-21
16.5,24,1319.0,2765,0.688,0.477,2025-07-22
13.0,20,1323.5,2770,0.650,0.478,2025-07-23
15.0,25,1324.5,2772,0.600,0.478,2025-07-24
11.0,22,1329.5,2780,0.500,0.478,2025-07-25
10.0,21,1332.5,2783,0.476,0.479,2025-07-26
9.5,23,1334.0,2785,0.413,0.479,2025-07-27
10.5,24,1335.0,2786,0.438,0.479,2025-07-28
11.0,25,1335.5,2789,0.440,0.479,2025-07-29
11.0,26,1336.5,2790,0.423,0.479,2025-07-30
8.0,21,1339.5,2795,0.381,0.479,2025-07-31
8.0,15,1340.5,2802,0.533,0.478,2025-08-01
6.0,14,1342.5,2804,0.429,0.479,2025-08-02
6.0,11,1343.5,2808,0.545,0.478,2025-08-03
6.0,16,1345.5,2810,0.375,0.479,2025-08-04
5.0,14,1346.5,2813,0.357,0.479,2025-08-05
6.0,15,1346.5,2814,0.400,0.479,2025-08-06
5.0,13,1347.5,2816,0.385,0.479,2025-08-07
4.0,12,1348.5,2817,0.333,0.479,2025-08-08
5.0,12,1348.5,2818,0.417,0.479,2025-08-09
5.0,12,1349.5,2819,0.417,0.479,2025-08-10
6.0,10,1350.5,2823,0.600,0.478,2025-08-11
6.0,8,1351.5,2826,0.750,0.478,2025-08-12
6.0,8,1352.5,2829,0.750,0.478,2025-08-13
6.0,8,1352.5,2829,0.750,0.478,2025-08-14
6.0,8,1352.5,2829,0.750,0.478,2025-08-15
5.0,7,1353.5,2830,0.714,0.478,2025-08-16
5.0,7,1354.5,2831,0.714,0.478,2025-08-17
3.0,5,1356.5,2833,0.600,0.479,2025-08-18
3.0,6,1356.5,2833,0.500,0.479,2025-08-19
2.0,4,1358.5,2837,0.500,0.479,2025-08-20
2.0,4,1358.5,2837,0.500,0.479,2025-08-21
2.0,4,1358.5,2837,0.500,0.479,2025-08-22
2.0,4,1358.5,2837,0.500,0.479,2025-08-23
1.0,3,1359.5,2838,0.333,0.479,2025-08-24
1.0,3,1359.5,2838,0.333,0.479,2025-08-25
1.0,2,1359.5,2839,0.500,0.479,2025-08-26
1.0,1,1360.5,2841,1.000,0.479,2025-08-27
1.0,1,1360.5,2841,1.000,0.479,2025-08-28
2.0,3,1360.5,2841,0.667,0.479,2025-08-29
2.0,3,1360.5,2841,0.667,0.479,2025-08-30
2.0,3,1360.5,2841,0.667,0.479,2025-08-31
3.0,5,1360.5,2841,0.600,0.479,2025-09-01
3.5,8,1360.5,2841,0.438,0.479,2025-09-02
3.5,9,1361.5,2842,0.389,0.479,2025-09-03
3.5,9,1361.5,2842,0.389,0.479,2025-09-04
5.5,10,1362.5,2844,0.550,0.479,2025-09-05
6.5,12,1362.5,2844,0.542,0.479,2025-09-06
7.5,13,1362.5,2844,0.577,0.479,2025-09-07
7.5,14,1362.5,2844,0.536,0.479,2025-09-08
8.0,13,1364.0,2849,0.615,0.479,2025-09-09
8.0,12,1364.0,2850,0.667,0.479,2025-09-10
8.0,12,1365.0,2851,0.667,0.479,2025-09-11
5.0,10,1368.0,2854,0.500,0.479,2025-09-12
4.0,9,1369.0,2856,0.444,0.479,2025-09-13
3.0,8,1370.0,2857,0.375,0.480,2025-09-14
5.0,13,1370.0,2857,0.385,0.480,2025-09-15
5.0,13,1371.0,2860,0.385,0.479,2025-09-16
4.0,15,1372.0,2862,0.267,0.479,2025-09-17
3.0,14,1373.0,2863,0.214,0.480,2025-09-18
5.0,15,1373.0,2864,0.333,0.479,2025-09-19
5.5,17,1373.0,2865,0.324,0.479,2025-09-20
6.5,18,1373.0,2865,0.361,0.479,2025-09-21
5.5,16,1374.0,2868,0.344,0.479,2025-09-22
3.5,11,1376.0,2873,0.318,0.479,2025-09-23
3.5,10,1376.0,2877,0.350,0.478,2025-09-24
3.5,10,1376.0,2877,0.350,0.478,2025-09-25
1.5,8,1378.0,2879,0.188,0.479,2025-09-26
2.0,6,1378.5,2882,0.333,0.478,2025-09-27
1.0,5,1379.5,2883,0.200,0.478,2025-09-28
1.0,7,1379.5,2883,0.143,0.478,2025-09-29
3.0,9,1379.5,2884,0.333,0.478,2025-09-30
3.0,6,1379.5,2887,0.500,0.478,2025-10-01
3.0,7,1379.5,2887,0.429,0.478,2025-10-02
4.0,9,1379.5,2887,0.444,0.478,2025-10-03
3.0,8,1380.5,2888,0.375,0.478,2025-10-04
3.0,8,1380.5,2888,0.375,0.478,2025-10-05
3.0,10,1380.5,2888,0.300,0.478,2025-10-06
1.0,6,1382.5,2893,0.167,0.478,2025-10-07
1.0,6,1382.5,2893,0.167,0.478,2025-10-08
1.0,7,1382.5,2893,0.143,0.478,2025-10-09
3.0,11,1383.5,2896,0.273,0.478,2025-10-10
